Place,Square,Group ID,Longitude,Latitude,Value
Metropolis,Metropolis,0,51.3341806942966,-0.266498254371903,0
Lane Theatre Art College,Lane Theatre Art College,1,51.3355273973219,-0.263052513619055,5
Nescot College,Nescot College,1,51.3421562620378,-0.246227080007507,9
Epsom College West,Epsom College,1,51.3281849514293,-0.246612180116973,6
Epsom College South,Epsom College,1,51.329284279065,-0.249903408675646,6
Coffee,Coffee,2,51.3336382368747,-0.266495632214637,2
Chinese Restaurant,Chinese Restaurant,2,51.3342396471469,-0.266038375912066,2
Kebab Shop,Kebab Shop,2,51.3337142962727,-0.26730046347355,2
Epsom Hospital North,Hospital,3,51.3241133604811,-0.272163078963969,5
Epsom Hospital South,Hospital,3,51.3266959511047,-0.273616849273142,5
Police Station,Police Station,3,51.3327321195606,-0.26510060196914,6
Fire Station,Fire Station,3,51.3328623626187,-0.262007586735266,6
Ewell Village North,Ewell Village,4,51.3502245200316,-0.249926866093278,9
Ewell Village South,Ewell Village,4,51.3466439571647,-0.250786735154597,9
Stoneleigh Broadway,Stoneleigh Broadway,4,51.3627263378026,-0.245943480182685,10
Epsom High Street,Epsom High Street,4,51.3335234847791,-0.266971534260232,4
Wilmerhatch Lane,Wilmerhatch Lane,5,51.3207201076123,-0.277295456058022,10
Burgh Heath Road,Burgh Heath Road,5,51.3289297037724,-0.258096033857669,10
Higher Green South,Higher Green,5,51.3312414922317,-0.24433626629734,10
Higher Green North,Higher Green,5,51.3336034523351,-0.246183610882786,10
Le Spectre De La Rose,Le Spectre De La Rose,6,51.3314603600904,-0.269856080592916,4
Emily Davison,Emily Davison,6,51.3330807039968,-0.268899219769156,2
Evocation of Speed,Evocation of Speed,6,51.3328814406652,-0.270056439428551,3
Gas Works,Gas Works,7,51.3370366384003,-0.26316373765622,2
Water Works,Water Works,7,51.3363713674759,-0.260887456956456,5
Road Works,Road Works,7,51.3348787538085,-0.263920905196961,2
Rainbow,Leisure Centre or Gym,8,51.3361028659328,-0.261597784742911,5
Pure Gym,Leisure Centre or Gym,8,51.3333649320431,-0.269453864067823,5
The Rig Gym,Leisure Centre or Gym,8,51.3330276325372,-0.266798101482105,5
Epsom Golf Club,Golf Club,8,51.3231254609247,-0.244064039102955,7
Horton Golf Club,Golf Club,8,51.3557372433983,-0.275424417853063,7
Bodhi Eden,Physio or Yoga,8,51.3336358461438,-0.266483956502235,6
The Grumpy Mole,The Grumpy Mole,9,51.3244301200935,-0.268201049628718,4
The Rising Sun,The Rising Sun,9,51.3307614809946,-0.263275405651174,5
The Cricketers Inn,The Cricketers Inn,9,51.3307614809946,-0.263275405651174,5
