Layer,SourceLayer,SourceLayerSymbol,MinZoom,Color,Type,Width,TextSize,Filter,SymbolPlacement,SymbolSpacing
MajorRoad,transportation,transportation_name,1,#ffffff,line,5,25,TRUE,line,500
MediumRoad,transportation,transportation_name,13,#ffffff,line,3,22,TRUE,line,350
SmallRoad,transportation,transportation_name,14,#a0a9ad,line,2,20,TRUE,line,350
Path,transportation,transportation_name,14,#919a9e,line,1,18,TRUE,line,350
Rail,transportation,transportation_name,1,#ccd5d9,line,3,25,TRUE,line,600
PointOfInterest,,poi,17,#8b8f94,symbol,,20,FALSE,point,100
Water,water,,1,#03b6fc,fill,,,FALSE,,
Building,building,,16,#696d72,fill,,,FALSE,,
SmallPlace,,place,1,,symbol,,20,TRUE,point,200
MediumPlace,,place,1,,symbol,,30,TRUE,point,200
LargePlace,,place,1,,symbol,,40,TRUE,point,200
River,waterway,waterway,1,#03b6fc,line,10,25,TRUE,line,400
Stream,waterway,waterway,2,#03b6fc,line,5,22,TRUE,line,400
Drain,waterway,waterway,3,#03b6fc,line,2,20,TRUE,line,400
Farm,landcover,,1,#324b35,fill,,,TRUE,,
Grass,landcover,,1,#324b35,fill,,,TRUE,,
Sand,landcover,,1,#8f8f00,fill,,,TRUE,,
Wetland,landcover,,1,#1f2b1a,fill,,,TRUE,,
Wood,landcover,,1,#1f3622,fill,,,TRUE,,
