Place,Square,Group ID,Longitude,Latitude,Value
Metropolis,Metropolis,0,51.3341806942966,-0.266498254371903,0
Glyn School,Glyn School,1,51.3440284694745,-0.25580298986529,5
Nescott College,Nescott College,1,51.3416939540756,-0.245366600785569,6
Danetree Primary School,Danetree Primary School,1,51.3567936146746,-0.271126462578227,6
Ewell East Train Station,Ewell East Train Station,2,51.3453349576059,-0.24166359243972,10
Nova Forca,Nova Forca,3,51.3449855729272,-0.263030434284312,5
Nonsuch,Parkrun Start Nonsuch,3,51.3568746377283,-0.23105589395001,6
Harrier Centre,Running Track,3,51.3576592916975,-0.265513262505117,6
Cheam Recreation Ground,Running Track,3,51.3623137221972,-0.222825230816865,6
Hobbledown Farm,Hobbledown Farm,4,51.3462053103413,-0.286319308523172,7
Adventure Golf,Adventure Golf,4,51.3562309800504,-0.275628191326321,6
Long Grove Skate Park,Long Grove Skate Park,4,51.3430524617154,-0.278626766199868,4
Stoneleigh Train Station,Stoneleigh Train Station,2,51.3631786053365,-0.248123477713628,10
The Watch House Ewell Village,The Watch House,5,51.349602653834,-0.249146085030474,7
Nonsuch Mansion House,Nonsuch Mansion House,5,51.3582945130086,-0.228824848939616,10
Ewell Court House,Ewell Court House,5,51.3615565952199,-0.260723238218789,10
Epsom Playhouse,Epsom Playhouse,6,51.3313363313481,-0.270285012388054,3
Epsom Odeon,Epsom Odeon,6,51.3342134473473,-0.262511544449394,2
Opposite Roseberry Park,UCA,6,51.3300726752753,-0.265546956930869,3
Opposite Pets at Home,UCA,6,51.335791057215,-0.262301227827247,3
Near Back of Odeon,UCA,6,51.3334394138947,-0.262751017791197,3
Epsom Train Station,Epsom Train Station,2,51.3342244209005,-0.268293617479275,10
Epsom Town Hall,Epsom Town Hall,7,51.332727047815,-0.265099424181604,2
The Clock Tower,The Clock Tower,7,51.3330996374992,-0.26855847445757,2
Epsom Racecourse,Epsom Racecourse,7,51.3136360821819,-0.254138798256645,10
Pizzerium / Pizza Express,Pizza Restuarant,8,51.3327152468344,-0.270303909256824,2
Papa John / Ask Italian,Pizza Restuarant,8,51.333840843675,-0.265577995395793,2
Dominos (Epsom),Pizza Restuarant,8,51.3342091494946,-0.263330913633114,2
Fireaway / American Village,Pizza Restuarant,8,51.3344845995076,-0.261508176798946,2
Village Pizza (Ewell Bypass),Pizza Restuarant,8,51.3538721409346,-0.245827116754,2
Tops Pizza (Chessington Road),Pizza Restuarant,8,51.3528807326529,-0.267718355207067,2
Pizza Express (Cheam),Pizza Restuarant,8,51.3576136305475,-0.216766364925875,2
Ntunetta (Ewell),Pizza Restuarant,8,51.3491926797618,-0.249148460914405,2
Epsom Air Scouts,Scout Hut,8,51.3423308487093,-0.272476419141804,4
Epsom Methodist Scout Group,Scout Hut,8,51.33210498224,-0.266506467579131,4
Ewell Rainsters Scout Group,Scout Hut,8,51.3462260039758,-0.258778984373773,4
St Martins Scout Group,Scout Hut,8,51.3367691982383,-0.258748910259245,4
Little Acres Lodge,Little Acres Lodge,8,51.3413795877201,-0.29502690304864,8
Ewell West Train Station,Ewell West Train Station,2,51.3500585450013,-0.256850818393034,10
Epsom Hospital,Epsom Hospital,9,51.3260671202233,-0.27351778087659,4
Jolly Cooper Pub,Jolly Cooper Pub,9,51.3311828822496,-0.281848505204813,4
Epsom Well,Epsom Well,9,51.3271404533878,-0.290218635398609,7
