highway,name,polygon,geometry
trunk,South Street,False,"LINESTRING (-0.2706369569870472 51.332417, -0.2704817 51.3326593)"
trunk,High Street,False,"LINESTRING (-0.2701447 51.3329292, -0.2700304 51.3329373)"
secondary,West Street,False,"LINESTRING (-0.2705611 51.3329569, -0.2704993 51.3329501)"
pedestrian,,False,"LINESTRING (-0.2702996 51.3327513, -0.2702379 51.3327794, -0.2701476 51.3328064, -0.2700448 51.3328372, -0.2697826 51.3328699, -0.2695245 51.3328996, -0.2692891 51.3329323, -0.2688207 51.332966, -0.2683916 51.3330518, -0.2681843 51.333099, -0.2679489 51.3331371)"
service,,False,"LINESTRING (-0.2703767 51.332785, -0.2702996 51.3327513, -0.2702124 51.3326834, -0.2701829 51.3326047, -0.2701957 51.3325347, -0.2702401828638506 51.332417)"
service,,False,"LINESTRING (-0.2704817 51.3326593, -0.2706121 51.3326593, -0.270664 51.3326512680694)"
,Ashley Centre,True,"POLYGON ((-0.2696825 51.3327696, -0.2695164 51.3327897, -0.2694096 51.3328064, -0.2693842 51.3326608, -0.2691856 51.3326844, -0.2692262 51.3328342, -0.2689506 51.3328802, -0.2688989 51.3327656, -0.2688825 51.3327656, -0.2688634 51.3327026, -0.2686534 51.3327323, -0.2686798 51.3328321, -0.2683003 51.3329305, -0.2682854 51.3329053, -0.2681758 51.3329261, -0.2681663 51.3329093, -0.2680606 51.3329331, -0.2680115 51.3328447, -0.2679049 51.3328669, -0.2679238 51.3329083, -0.2678531 51.33292, -0.2678978 51.3330149, -0.267762 51.33303310261845, -0.267762 51.332417, -0.26957720478502 51.332417, -0.2696555 51.3326917, -0.2696825 51.3327696))"
service,,False,"LINESTRING (-0.2705611 51.3329569, -0.2705296 51.3330186, -0.2705464 51.3331476, -0.2706162 51.3333976)"
,,True,"POLYGON ((-0.2695867286004067 51.333513, -0.2694654988141902 51.333513, -0.269582 51.3335006, -0.2695867286004067 51.333513))"
,,True,"POLYGON ((-0.2700777549702645 51.333513, -0.2698234921078928 51.333513, -0.2698116 51.3334758, -0.2700532 51.3334415, -0.270062 51.3334671, -0.2700777549702645 51.333513))"
,,True,"POLYGON ((-0.269589 51.3331375, -0.2695981 51.3331631, -0.2696554 51.3331543, -0.2696201 51.333061, -0.269788 51.3330401, -0.2700205 51.3330069, -0.2701839 51.3329941, -0.2704137 51.3329888, -0.2704239 51.3330579, -0.2704964 51.3330533, -0.2705348 51.3332678, -0.270385 51.333282, -0.2704049 51.3334278, -0.270062 51.3334671, -0.2700106 51.3332887, -0.2696937 51.3333253, -0.2697375 51.3334617, -0.2694779 51.3334918, -0.2693799 51.3331644, -0.269589 51.3331375))"
service,,False,"LINESTRING (-0.2685565 51.3332203, -0.2685748564919158 51.333513)"
