Speed (m/s),Pace (min/km),Distance (m),Points,Time (min),Squares visited,Groups visited,Maximise Points Solve Time (s),Minimise Distance Solve Time (s),Solve Time (s)
0.1,166.666666666667,331.253357685528,10,55.57,2,0,0.080345869064331,0.118911027908325,0.199256896972656
0.2,83.3333333333333,733.505603648177,14,61.87,4,0,1.18089461326599,0.812752962112427,1.99364757537842
0.3,55.5555555555556,1241.79017232461,19,69.94,5,0,3.01164197921753,2.32854175567627,5.3401837348938
0.4,41.6666666666667,1570.60111190711,23,66.74,7,0,1.60867595672607,2.0861918926239,3.69486784934998
0.5,33.3333333333333,1852.28409445224,25,63.22,8,0,2.60040497779846,3.83447909355164,6.4348840713501
0.6,27.7777777777778,2262.1789325758,36,64.52,9,1,1.94259834289551,1.50180506706238,3.44440340995789
0.7,23.8095238095238,2262.1789325758,36,55.54,9,1,5.37019634246826,2.24087643623352,7.61107277870178
0.8,20.8333333333333,2262.1789325758,36,48.81,9,1,7.60683822631836,2.34427499771118,9.95111322402954
0.9,18.5185185185185,3544.08057878409,40,67.52,10,1,9.59688448905945,8.93078875541687,18.5276732444763
1,16.6666666666667,3544.08057878409,40,60.95,10,1,18.325159072876,10.2768750190735,28.6020340919495
1.1,15.1515151515152,3544.08057878409,40,55.58,10,1,55.0741090774536,25.8133895397186,80.8874986171722
1.2,13.8888888888889,4657.59870116026,41,66.66,10,1,58.0257732868195,34.6765811443329,92.7023544311523
1.3,12.8205128205128,5048.0962120478,44,66.88,11,1,102.048606872559,170.506028652191,272.55463552475
1.4,11.9047619047619,5557.08170490766,51,68.05,9,1,62.606992483139,55.509950876236,118.116943359375
1.5,11.1111111111111,6089.97238039566,54,69.76,10,1,130.554895877838,115.113760471344,245.668656349182
1.6,10.4166666666667,6389.78716512787,64,68.85,11,2,114.355493307114,66.5750589370728,180.930552244186
1.7,9.80392156862745,6527.97211081029,66,66.47,12,2,125.497247695923,39.2692012786865,164.766448974609
1.8,9.25925925925926,6527.97211081029,66,62.91,12,2,207.072815418243,51.4126074314117,258.485422849655
1.9,8.7719298245614,6527.97211081029,66,59.73,12,2,631.270117998123,46.2042951583862,677.474413156509
2,8.33333333333333,7954.02932520431,68,68.91,13,1,537.64515209198,452.00727558136,989.65242767334
2.1,7.93650793650794,8325.70013976872,74,68.89,14,1,469.714856147766,620.514417171478,1090.22927331924
2.2,7.57575757575758,8876.72183044148,77,69.87,12,2,953.250479459763,1464.47508907318,2417.72556853294
2.3,7.2463768115942,9148.43172288262,86,68.94,12,3,1152.32261300087,236.358166456223,1388.68077945709
2.4,6.94444444444445,9286.61666856504,88,67.31,13,3,3510.79010510445,453.554887771606,3964.34499287605
2.5,6.66666666666667,10089.475845983,97,69.32,9,1,2052.45083022118,543.378083944321,2595.8289141655
2.6,6.41025641025641,10461.1466605474,103,69.3,10,1,1664.15039300919,474.231578826904,2138.38197183609
2.7,6.17283950617284,10719.5910163801,107,68.59,11,1,1625.97438597679,575.816771745682,2201.79115772247
2.8,5.95238095238095,11154.072223569,116,69.19,13,2,962.313287258148,590.902944564819,1553.21623182297
2.9,5.74712643678161,11525.7430381335,122,69.22,14,2,2567.95877766609,161.807025909424,2729.76580357552
3,5.55555555555556,12187.4019748099,127,69.95,10,2,2230.86169052124,821.907034635544,3052.76872515678
3.1,5.37634408602151,12319.7358293969,136,68.85,12,2,1621.69235873222,577.083560466766,2198.77591919899
3.2,5.20833333333333,12763.4960112153,150,69.17,12,2,699.801189661026,499.56714463234,1199.36833429337
3.3,5.05050505050505,13232.3557173743,156,69.87,14,2,1004.56622505188,351.770613670349,1356.33683872223
3.4,4.90196078431373,13451.748587071,160,68.9,14,2,5236.21373200417,342.169169664383,5578.38290166855
3.5,4.76190476190476,14098.7767598253,174,69.93,13,3,705.418775081635,99.8236751556397,805.242450237274
3.6,4.62962962962963,14284.5691387887,183,69.3,15,3,1366.3728928566,183.187826633453,1549.56071949005
3.7,4.50450450450451,14727.9157393681,189,69.7,16,3,1448.70796632767,188.303986310959,1637.01195263863
3.8,4.3859649122807,15063.1144176832,192,69.66,17,4,644.700208902359,302.892148971558,947.592357873917
