Speed (m/s),Pace (min/km),Distance (m),Points,Time (min),Squares Visited,Groups Visited,Maximise Points Solve Time (s),Minimise Distance Solve Time (s),Solve Time (s)
2.0,8.333333333333334,7814.682,143,68.82,19,5,82.28499341011047,49.293418169021606,131.57841157913208
2.1,7.936507936507937,8253.17,150,69.52,21,5,399.98223757743835,104.70901989936829,504.69125747680664
2.2,7.575757575757576,8693.267,160,69.72,20,5,298.96812748908997,85.71045184135437,384.67857933044434
2.3,7.246376811594203,9130.465,170,69.55,17,5,202.5520613193512,80.4071261882782,282.9591875076294
2.4,6.944444444444445,9383.202,177,69.38,22,5,183.2219398021698,68.44513940811157,251.66707921028137
2.5,6.666666666666667,9851.461,193,69.77,21,6,54.918477296829224,56.925410985946655,111.84388828277588
2.6,6.410256410256411,10019.405,198,68.5,22,6,120.51002049446106,32.663378953933716,153.17339944839478
2.7,6.172839506172839,10245.198,202,67.7,23,6,83.18997812271118,33.20873403549194,116.39871215820312
2.8,5.9523809523809526,10933.746,206,69.52,23,6,216.93528008460999,57.09448170661926,274.02976179122925
2.9,5.747126436781609,11402.005000000001,218,69.67,21,7,147.97860169410706,51.30535626411438,199.28395795822144
3.0,5.555555555555555,11569.949,227,68.77,23,7,72.72412633895874,18.596414804458618,91.32054114341736
3.1,5.376344086021505,12018.143999999998,236,69.3,24,7,150.6921727657318,18.54133677482605,169.23350954055786
3.2,5.208333333333333,12507.336,244,68.97,19,5,61.53361630439758,20.087948322296143,81.62156462669373
3.3,5.05050505050505,12823.51,249,68.77,20,5,82.86959075927734,34.795676946640015,117.66526770591736
3.4,4.901960784313726,13281.367999999999,262,69.49,22,6,53.8687469959259,21.571871995925903,75.4406189918518
3.5,4.761904761904762,13597.542000000001,267,69.31,23,6,70.75470209121704,40.71423697471619,111.46893906593323
3.6,4.62962962962963,13597.542000000001,267,67.51,23,6,42.41352081298828,24.2447669506073,66.65828776359558
3.7,4.504504504504505,14402.159000000001,278,69.46,23,6,73.514803647995,30.72716474533081,104.2419683933258
3.8,4.385964912280702,14681.004,289,69.16,24,7,38.96928691864014,24.548083305358887,63.51737022399902
3.9,4.273504273504273,15128.109999999999,299,69.25,23,7,61.67031526565552,22.307172060012817,83.97748732566833
4.0,4.166666666666667,15521.847000000003,308,69.64,25,7,49.413872718811035,21.515472412109375,70.92934513092041
4.1,4.065040650406504,15879.205000000002,318,69.38,24,7,53.22299313545227,19.42473602294922,72.64772915840149
4.2,3.9682539682539684,16158.050000000003,329,69.14,25,8,64.24456405639648,5.45915150642395,69.70371556282043
4.3,3.875968992248062,16383.843,333,68.71,26,8,118.27252578735352,4.235908269882202,122.50843405723572
4.4,3.787878787878788,16383.843,333,67.26,26,8,44.5097119808197,6.848943710327148,51.35865569114685
