Speed (m/s),Order ID,Place
0.1,0,Metropolis
0.1,1,Kebab Shop
0.1,2,Epsom High Street
0.1,3,Coffee
0.1,4,Bodhi Eden
0.1,5,Chinese Restaurant
0.1,6,Metropolis
0.2,0,Metropolis
0.2,1,Chinese Restaurant
0.2,2,Kebab Shop
0.2,3,Epsom High Street
0.2,4,Coffee
0.2,5,Bodhi Eden
0.2,6,Police Station
0.2,7,The Rig Gym
0.2,8,Metropolis
0.3,0,Metropolis
0.3,1,Chinese Restaurant
0.3,2,Kebab Shop
0.3,3,Epsom High Street
0.3,4,Coffee
0.3,5,Bodhi Eden
0.3,6,Fire Station
0.3,7,Police Station
0.3,8,The Rig Gym
0.3,9,Metropolis
0.4,0,Metropolis
0.4,1,Emily Davison
0.4,2,Evocation of Speed
0.4,3,Le Spectre De La Rose
0.4,4,Police Station
0.4,5,The Rig Gym
0.4,6,Coffee
0.4,7,Bodhi Eden
0.4,8,Epsom High Street
0.4,9,Kebab Shop
0.4,10,Chinese Restaurant
0.4,11,Metropolis
0.5,0,Metropolis
0.5,1,Chinese Restaurant
0.5,2,Kebab Shop
0.5,3,Epsom High Street
0.5,4,Bodhi Eden
0.5,5,Coffee
0.5,6,The Rig Gym
0.5,7,Police Station
0.5,8,The Rising Sun
0.5,9,The Cricketers Inn
0.5,10,Le Spectre De La Rose
0.5,11,Evocation of Speed
0.5,12,Emily Davison
0.5,13,Metropolis
0.6,0,Metropolis
0.6,1,Emily Davison
0.6,2,Evocation of Speed
0.6,3,Le Spectre De La Rose
0.6,4,The Rising Sun
0.6,5,The Cricketers Inn
0.6,6,Fire Station
0.6,7,Police Station
0.6,8,The Rig Gym
0.6,9,Coffee
0.6,10,Bodhi Eden
0.6,11,Epsom High Street
0.6,12,Kebab Shop
0.6,13,Chinese Restaurant
0.6,14,Metropolis
0.7,0,Metropolis
0.7,1,Chinese Restaurant
0.7,2,Kebab Shop
0.7,3,Emily Davison
0.7,4,Evocation of Speed
0.7,5,Le Spectre De La Rose
0.7,6,Police Station
0.7,7,Road Works
0.7,8,Lane Theatre Art College
0.7,9,Water Works
0.7,10,Rainbow
0.7,11,Gas Works
0.7,12,Coffee
0.7,13,Bodhi Eden
0.7,14,Epsom High Street
0.7,15,Metropolis
0.8,0,Metropolis
0.8,1,Kebab Shop
0.8,2,Epsom High Street
0.8,3,Bodhi Eden
0.8,4,Coffee
0.8,5,Road Works
0.8,6,Water Works
0.8,7,Rainbow
0.8,8,Gas Works
0.8,9,Lane Theatre Art College
0.8,10,Fire Station
0.8,11,The Cricketers Inn
0.8,12,The Rising Sun
0.8,13,Le Spectre De La Rose
0.8,14,Evocation of Speed
0.8,15,Emily Davison
0.8,16,Chinese Restaurant
0.8,17,Metropolis
0.9,0,Metropolis
0.9,1,Epsom High Street
0.9,2,Bodhi Eden
0.9,3,Coffee
0.9,4,Road Works
0.9,5,Lane Theatre Art College
0.9,6,Water Works
0.9,7,Rainbow
0.9,8,Gas Works
0.9,9,Fire Station
0.9,10,The Cricketers Inn
0.9,11,The Rising Sun
0.9,12,Police Station
0.9,13,Le Spectre De La Rose
0.9,14,Evocation of Speed
0.9,15,Emily Davison
0.9,16,Kebab Shop
0.9,17,Chinese Restaurant
0.9,18,Metropolis
1.0,0,Metropolis
1.0,1,Chinese Restaurant
1.0,2,Kebab Shop
1.0,3,Emily Davison
1.0,4,Evocation of Speed
1.0,5,Le Spectre De La Rose
1.0,6,Epsom Hospital South
1.0,7,The Grumpy Mole
1.0,8,The Rising Sun
1.0,9,The Cricketers Inn
1.0,10,Fire Station
1.0,11,Police Station
1.0,12,The Rig Gym
1.0,13,Bodhi Eden
1.0,14,Coffee
1.0,15,Epsom High Street
1.0,16,Metropolis
1.1,0,Metropolis
1.1,1,The Rig Gym
1.1,2,Emily Davison
1.1,3,Evocation of Speed
1.1,4,Le Spectre De La Rose
1.1,5,Epsom Hospital South
1.1,6,The Grumpy Mole
1.1,7,The Rising Sun
1.1,8,The Cricketers Inn
1.1,9,Police Station
1.1,10,Fire Station
1.1,11,Road Works
1.1,12,Lane Theatre Art College
1.1,13,Coffee
1.1,14,Bodhi Eden
1.1,15,Epsom High Street
1.1,16,Kebab Shop
1.1,17,Chinese Restaurant
1.1,18,Metropolis
1.2,0,Metropolis
1.2,1,Chinese Restaurant
1.2,2,Emily Davison
1.2,3,Evocation of Speed
1.2,4,Le Spectre De La Rose
1.2,5,Epsom Hospital South
1.2,6,The Grumpy Mole
1.2,7,The Cricketers Inn
1.2,8,The Rising Sun
1.2,9,Police Station
1.2,10,Fire Station
1.2,11,Rainbow
1.2,12,Water Works
1.2,13,Lane Theatre Art College
1.2,14,Road Works
1.2,15,Coffee
1.2,16,Bodhi Eden
1.2,17,Epsom High Street
1.2,18,Kebab Shop
1.2,19,Metropolis
1.3,0,Metropolis
1.3,1,Chinese Restaurant
1.3,2,Epsom High Street
1.3,3,Bodhi Eden
1.3,4,Coffee
1.3,5,Road Works
1.3,6,Water Works
1.3,7,Rainbow
1.3,8,Gas Works
1.3,9,Lane Theatre Art College
1.3,10,Fire Station
1.3,11,Police Station
1.3,12,The Rising Sun
1.3,13,The Cricketers Inn
1.3,14,The Grumpy Mole
1.3,15,Epsom Hospital South
1.3,16,Le Spectre De La Rose
1.3,17,Evocation of Speed
1.3,18,Emily Davison
1.3,19,Kebab Shop
1.3,20,Metropolis
1.4,0,Metropolis
1.4,1,Kebab Shop
1.4,2,Emily Davison
1.4,3,Evocation of Speed
1.4,4,Le Spectre De La Rose
1.4,5,Epsom Hospital South
1.4,6,The Grumpy Mole
1.4,7,The Rising Sun
1.4,8,The Cricketers Inn
1.4,9,Police Station
1.4,10,Fire Station
1.4,11,Road Works
1.4,12,Lane Theatre Art College
1.4,13,Gas Works
1.4,14,Rainbow
1.4,15,Water Works
1.4,16,Bodhi Eden
1.4,17,Coffee
1.4,18,Epsom High Street
1.4,19,Chinese Restaurant
1.4,20,Metropolis
1.5,0,Metropolis
1.5,1,Epsom High Street
1.5,2,Coffee
1.5,3,Bodhi Eden
1.5,4,Road Works
1.5,5,Lane Theatre Art College
1.5,6,Gas Works
1.5,7,Rainbow
1.5,8,Water Works
1.5,9,Fire Station
1.5,10,Police Station
1.5,11,The Cricketers Inn
1.5,12,The Rising Sun
1.5,13,Burgh Heath Road
1.5,14,The Grumpy Mole
1.5,15,Epsom Hospital South
1.5,16,Le Spectre De La Rose
1.5,17,Evocation of Speed
1.5,18,Emily Davison
1.5,19,Kebab Shop
1.5,20,Chinese Restaurant
1.5,21,Metropolis
1.6,0,Metropolis
1.6,1,Emily Davison
1.6,2,Evocation of Speed
1.6,3,Le Spectre De La Rose
1.6,4,Epsom Hospital South
1.6,5,The Grumpy Mole
1.6,6,Burgh Heath Road
1.6,7,The Rising Sun
1.6,8,The Cricketers Inn
1.6,9,Police Station
1.6,10,Fire Station
1.6,11,Road Works
1.6,12,Lane Theatre Art College
1.6,13,Water Works
1.6,14,Gas Works
1.6,15,Rainbow
1.6,16,Bodhi Eden
1.6,17,Coffee
1.6,18,Epsom High Street
1.6,19,Kebab Shop
1.6,20,Chinese Restaurant
1.6,21,Metropolis
1.7,0,Metropolis
1.7,1,Chinese Restaurant
1.7,2,Epsom High Street
1.7,3,Coffee
1.7,4,Bodhi Eden
1.7,5,Gas Works
1.7,6,Rainbow
1.7,7,Water Works
1.7,8,Lane Theatre Art College
1.7,9,Road Works
1.7,10,Fire Station
1.7,11,Police Station
1.7,12,The Rising Sun
1.7,13,The Cricketers Inn
1.7,14,Burgh Heath Road
1.7,15,The Grumpy Mole
1.7,16,Epsom Hospital South
1.7,17,Le Spectre De La Rose
1.7,18,Evocation of Speed
1.7,19,Emily Davison
1.7,20,Kebab Shop
1.7,21,Metropolis
1.8,0,Metropolis
1.8,1,Chinese Restaurant
1.8,2,Kebab Shop
1.8,3,Emily Davison
1.8,4,Evocation of Speed
1.8,5,Le Spectre De La Rose
1.8,6,Wilmerhatch Lane
1.8,7,Epsom Hospital North
1.8,8,The Grumpy Mole
1.8,9,Burgh Heath Road
1.8,10,The Rising Sun
1.8,11,The Cricketers Inn
1.8,12,Police Station
1.8,13,Fire Station
1.8,14,Road Works
1.8,15,Lane Theatre Art College
1.8,16,Water Works
1.8,17,Gas Works
1.8,18,Rainbow
1.8,19,Bodhi Eden
1.8,20,Coffee
1.8,21,Epsom High Street
1.8,22,Metropolis
1.9,0,Metropolis
1.9,1,Kebab Shop
1.9,2,Emily Davison
1.9,3,Evocation of Speed
1.9,4,Le Spectre De La Rose
1.9,5,Epsom Hospital North
1.9,6,Wilmerhatch Lane
1.9,7,The Grumpy Mole
1.9,8,Burgh Heath Road
1.9,9,The Rising Sun
1.9,10,The Cricketers Inn
1.9,11,Police Station
1.9,12,Fire Station
1.9,13,Road Works
1.9,14,Lane Theatre Art College
1.9,15,Water Works
1.9,16,Rainbow
1.9,17,Gas Works
1.9,18,Coffee
1.9,19,Bodhi Eden
1.9,20,Epsom High Street
1.9,21,Chinese Restaurant
1.9,22,Metropolis
2.0,0,Metropolis
2.0,1,Chinese Restaurant
2.0,2,Kebab Shop
2.0,3,Emily Davison
2.0,4,Evocation of Speed
2.0,5,Le Spectre De La Rose
2.0,6,Epsom Hospital North
2.0,7,Wilmerhatch Lane
2.0,8,The Grumpy Mole
2.0,9,Burgh Heath Road
2.0,10,The Cricketers Inn
2.0,11,The Rising Sun
2.0,12,Police Station
2.0,13,Fire Station
2.0,14,Road Works
2.0,15,Lane Theatre Art College
2.0,16,Water Works
2.0,17,Rainbow
2.0,18,Gas Works
2.0,19,Bodhi Eden
2.0,20,Coffee
2.0,21,Epsom High Street
2.0,22,Metropolis
2.1,0,Metropolis
2.1,1,Chinese Restaurant
2.1,2,Kebab Shop
2.1,3,Epsom High Street
2.1,4,Coffee
2.1,5,Bodhi Eden
2.1,6,Police Station
2.1,7,Fire Station
2.1,8,Road Works
2.1,9,Lane Theatre Art College
2.1,10,Rainbow
2.1,11,Water Works
2.1,12,Epsom College West
2.1,13,Epsom Golf Club
2.1,14,Burgh Heath Road
2.1,15,The Rising Sun
2.1,16,The Cricketers Inn
2.1,17,The Grumpy Mole
2.1,18,Epsom Hospital South
2.1,19,Le Spectre De La Rose
2.1,20,Evocation of Speed
2.1,21,Emily Davison
2.1,22,Metropolis
2.2,0,Metropolis
2.2,1,Emily Davison
2.2,2,Evocation of Speed
2.2,3,Le Spectre De La Rose
2.2,4,Wilmerhatch Lane
2.2,5,Epsom Hospital North
2.2,6,The Grumpy Mole
2.2,7,The Rising Sun
2.2,8,The Cricketers Inn
2.2,9,Burgh Heath Road
2.2,10,Epsom College South
2.2,11,Higher Green North
2.2,12,Fire Station
2.2,13,Police Station
2.2,14,The Rig Gym
2.2,15,Coffee
2.2,16,Bodhi Eden
2.2,17,Epsom High Street
2.2,18,Kebab Shop
2.2,19,Chinese Restaurant
2.2,20,Metropolis
2.3,0,Metropolis
2.3,1,Epsom High Street
2.3,2,Coffee
2.3,3,Bodhi Eden
2.3,4,Police Station
2.3,5,Fire Station
2.3,6,Road Works
2.3,7,Lane Theatre Art College
2.3,8,Rainbow
2.3,9,Higher Green North
2.3,10,Epsom College South
2.3,11,Burgh Heath Road
2.3,12,The Cricketers Inn
2.3,13,The Rising Sun
2.3,14,The Grumpy Mole
2.3,15,Wilmerhatch Lane
2.3,16,Epsom Hospital North
2.3,17,Le Spectre De La Rose
2.3,18,Evocation of Speed
2.3,19,Emily Davison
2.3,20,Kebab Shop
2.3,21,Chinese Restaurant
2.3,22,Metropolis
2.4,0,Metropolis
2.4,1,Kebab Shop
2.4,2,Epsom High Street
2.4,3,Coffee
2.4,4,Bodhi Eden
2.4,5,Police Station
2.4,6,Fire Station
2.4,7,Road Works
2.4,8,Lane Theatre Art College
2.4,9,Gas Works
2.4,10,Rainbow
2.4,11,Water Works
2.4,12,Higher Green North
2.4,13,Epsom College South
2.4,14,Burgh Heath Road
2.4,15,The Rising Sun
2.4,16,The Cricketers Inn
2.4,17,The Grumpy Mole
2.4,18,Epsom Hospital North
2.4,19,Wilmerhatch Lane
2.4,20,Le Spectre De La Rose
2.4,21,Evocation of Speed
2.4,22,Emily Davison
2.4,23,Chinese Restaurant
2.4,24,Metropolis
2.5,0,Metropolis
2.5,1,Epsom High Street
2.5,2,Coffee
2.5,3,Bodhi Eden
2.5,4,The Rig Gym
2.5,5,Police Station
2.5,6,Fire Station
2.5,7,Road Works
2.5,8,Higher Green North
2.5,9,Epsom Golf Club
2.5,10,Epsom College South
2.5,11,Burgh Heath Road
2.5,12,The Cricketers Inn
2.5,13,The Rising Sun
2.5,14,The Grumpy Mole
2.5,15,Wilmerhatch Lane
2.5,16,Epsom Hospital North
2.5,17,Le Spectre De La Rose
2.5,18,Evocation of Speed
2.5,19,Emily Davison
2.5,20,Kebab Shop
2.5,21,Chinese Restaurant
2.5,22,Metropolis
2.6,0,Metropolis
2.6,1,Kebab Shop
2.6,2,Emily Davison
2.6,3,Evocation of Speed
2.6,4,Le Spectre De La Rose
2.6,5,Wilmerhatch Lane
2.6,6,Epsom Hospital North
2.6,7,The Grumpy Mole
2.6,8,The Rising Sun
2.6,9,The Cricketers Inn
2.6,10,Burgh Heath Road
2.6,11,Epsom College South
2.6,12,Epsom Golf Club
2.6,13,Higher Green North
2.6,14,Water Works
2.6,15,Rainbow
2.6,16,Lane Theatre Art College
2.6,17,Road Works
2.6,18,Fire Station
2.6,19,Police Station
2.6,20,Bodhi Eden
2.6,21,Coffee
2.6,22,Epsom High Street
2.6,23,Chinese Restaurant
2.6,24,Metropolis
2.7,0,Metropolis
2.7,1,Chinese Restaurant
2.7,2,Kebab Shop
2.7,3,Epsom High Street
2.7,4,Coffee
2.7,5,Bodhi Eden
2.7,6,Police Station
2.7,7,Fire Station
2.7,8,Road Works
2.7,9,Lane Theatre Art College
2.7,10,Rainbow
2.7,11,Gas Works
2.7,12,Water Works
2.7,13,Higher Green North
2.7,14,Epsom Golf Club
2.7,15,Epsom College South
2.7,16,Burgh Heath Road
2.7,17,The Cricketers Inn
2.7,18,The Rising Sun
2.7,19,The Grumpy Mole
2.7,20,Wilmerhatch Lane
2.7,21,Epsom Hospital North
2.7,22,Le Spectre De La Rose
2.7,23,Evocation of Speed
2.7,24,Emily Davison
2.7,25,Metropolis
2.8,0,Metropolis
2.8,1,Emily Davison
2.8,2,Evocation of Speed
2.8,3,Le Spectre De La Rose
2.8,4,Wilmerhatch Lane
2.8,5,Epsom Hospital North
2.8,6,The Grumpy Mole
2.8,7,The Rising Sun
2.8,8,The Cricketers Inn
2.8,9,Burgh Heath Road
