Speed (m/s),Pace (min/km),Distance (m),Points,Time (min),Squares Visited,Groups Visited,Maximise Points Solve Time (s),Minimise Distance Solve Time (s),Solve Time (s)
0.1,166.66666666666666,355.844,22,60.17,5,1,0.8704221248626709,0.17541003227233887,1.0458321571350098
0.2,83.33333333333333,735.6569999999999,33,62.52,7,1,3.004575729370117,0.9612183570861816,3.965794086456299
0.3,55.55555555555556,1167.242,39,66.27,8,1,6.233234643936157,7.507257699966431,13.740492343902588
0.4,41.666666666666664,1512.244,51,64.8,10,2,5.140801429748535,6.410020351409912,11.550821781158447
0.5,33.333333333333336,2017.2639999999997,61,69.38,12,2,12.252633333206177,10.999191761016846,23.251825094223022
0.6,27.77777777777778,2291.8109999999997,67,65.99,13,2,16.217315673828125,17.119258880615234,33.33657455444336
0.7,23.80952380952381,2767.004,74,68.41,14,3,15.629308700561523,12.133770227432251,27.763078927993774
0.8,20.833333333333332,3186.671,84,69.28,16,3,16.221352338790894,8.994126796722412,25.215479135513306
0.9,18.51851851851852,3387.6290000000004,90,65.79,17,3,25.82218599319458,7.866488695144653,33.68867468833923
1.0,16.666666666666668,3801.5460000000003,107,66.08,15,4,22.702040433883667,6.027175664901733,28.7292160987854
1.1,15.151515151515152,4383.107,114,69.5,17,4,15.555580615997314,8.37219524383545,23.927775859832764
1.2,13.88888888888889,4708.300000000001,119,68.67,18,4,8.44275188446045,16.174325466156006,24.617077350616455
1.3,12.820512820512821,4987.1449999999995,130,67.4,19,5,24.629859924316406,6.5958991050720215,31.225759029388428
1.4,11.904761904761905,4987.145,130,62.83,19,5,14.826189994812012,9.73794436454773,24.56413435935974
1.5,11.11111111111111,5685.436000000001,140,66.84,20,5,15.982283592224121,9.119641780853271,25.101925373077393
1.6,10.416666666666666,5685.436000000001,140,62.9,20,5,14.211355686187744,8.542097091674805,22.75345277786255
1.7,9.803921568627452,5685.436,140,59.41,20,5,48.037588596343994,10.101976871490479,58.13956546783447
1.8,9.25925925925926,6872.607000000001,150,67.55,21,5,18.580678701400757,18.82246446609497,37.40314316749573
1.9,8.771929824561404,6872.607000000001,150,64.2,21,5,28.004260063171387,13.985556602478027,41.989816665649414
2.0,8.333333333333334,6872.607000000001,150,61.19,21,5,79.5999436378479,19.80614924430847,99.40609288215637
2.1,7.936507936507937,8239.601999999999,160,69.41,21,5,100.8577663898468,67.0819993019104,167.9397656917572
2.2,7.575757575757576,8662.205999999998,173,69.31,19,5,90.29539561271667,28.350199937820435,118.64559555053711
2.3,7.246376811594203,9068.546,180,69.74,21,5,127.37965536117554,56.314905405044556,183.6945607662201
2.4,6.944444444444445,9383.202000000001,196,69.55,23,6,51.434669971466064,22.781418561935425,74.21608853340149
2.5,6.666666666666667,9832.795,200,69.65,21,6,88.085120677948,48.64217495918274,136.72729563713074
2.6,6.410256410256411,9966.353,210,68.33,23,6,80.39352178573608,13.981850147247314,94.3753719329834
2.7,6.172839506172839,10245.198000000002,221,67.87,24,7,23.88813304901123,9.71117901802063,33.59931206703186
2.8,5.9523809523809526,10933.746000000001,225,69.69,24,7,56.86547231674194,17.11579465866089,73.98126697540283
2.9,5.747126436781609,10933.746,225,67.44,24,7,80.45824146270752,16.746482610702515,97.20472407341003
3.0,5.555555555555555,11516.896999999999,239,68.64,24,7,75.7931649684906,18.671841621398926,94.46500658988953
3.1,5.376344086021505,11795.742,250,68.26,25,8,43.177852153778076,3.6336019039154053,46.81145405769348
3.2,5.208333333333333,12243.937,259,68.81,26,8,39.43378734588623,2.7375741004943848,42.171361446380615
3.3,5.05050505050505,12243.936999999998,259,66.88,26,8,4.017290830612183,2.5503060817718506,6.567596912384033
3.4,4.901960784313726,12243.937,259,65.06,26,8,48.28502416610718,2.702458381652832,50.98748254776001
3.5,4.761904761904762,12243.937,259,63.35,26,8,27.73903775215149,3.1131560802459717,30.85219383239746
3.6,4.62962962962963,12243.937,259,61.73,26,8,13.124336957931519,3.4176883697509766,16.542025327682495
3.7,4.504504504504505,12243.937,259,60.19,26,8,5.5544750690460205,2.7559072971343994,8.31038236618042
3.8,4.385964912280702,12243.937,259,58.74,26,8,21.520002603530884,1.9967641830444336,23.516766786575317
3.9,4.273504273504273,12243.937,259,57.37,26,8,44.22909116744995,2.2571499347686768,46.48624110221863
4.0,4.166666666666667,15521.847000000002,267,69.81,26,8,66.01125383377075,6.080057382583618,72.09131121635437
4.1,4.065040650406504,15521.847000000002,267,68.23,26,8,67.97552347183228,12.183125495910645,80.15864896774292
4.2,3.9682539682539684,16104.998000000001,281,69.1,26,8,120.4917345046997,3.3191287517547607,123.81086325645447
4.3,3.875968992248062,16383.843,292,68.87,27,9,38.56598901748657,3.5323550701141357,42.09834408760071
4.4,3.787878787878788,16383.843000000003,292,67.43,27,9,53.023645639419556,2.6986966133117676,55.72234225273132
