Item,Layer
aerialway,SmallRoad
bridge,SmallRoad
minor,SmallRoad
minor_construction,SmallRoad
motorway,MajorRoad
path,Path
primary,MajorRoad
raceway,SmallRoad
rail,Rail
secondary,MediumRoad
service,SmallRoad
tertiary,MediumRoad
track,Path
trunk,MajorRoad
poi,PointOfInterest
water,Water
building,Building
farm,SmallPlace
hamlet,SmallPlace
island,MediumPlace
locality,SmallPlace
neighbourhood,LargePlace
quarter,MediumPlace
suburb,SmallPlace
town,LargePlace
village,MediumPlace
river,River
stream,Stream
drain,Drain
ditch,Drain
farmland,Farm
grass,Grass
sand,Sand
wetland,Wetland
wood,Wood
